text,label_binary,source
Says David Dewhurst accused Cruz of being a Red Chinese Communist.,1,LIAR/PolitiFact
Emmanuel Adebayor is Chinese.,0,FEVER
Xi Jinping joined the Communist Party.,1,FEVER
Telangana is in China.,0,FEVER
Hong Kong is one of the world's most significant centers.,1,FEVER
Says Donald Trumps Make America Great Again caps are made in China.,0,LIAR/PolitiFact
Beijing has a dual party-government.,0,FEVER
Russia's capital is Beijing.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
Jackie Chan is not from Hong Kong.,0,FEVER
Taiwan's high-tech industry plays a key role in the local economy.,0,FEVER
Taiwan has a neighbor in at least one direction.,1,FEVER
Jing Tian is a Chinese citizen.,1,FEVER
Kris Wu is a Chinese-born Canadian singer.,1,FEVER
Beijing is rarely the nation's educational center.,0,FEVER
Taiwan is officially known as the Republic of China.,1,FEVER
Taiwan's only neighbor is Germany.,0,FEVER
Lay (entertainer) is a Chinese author.,1,FEVER
Taiwan's neighbor is Tanzania.,0,FEVER
Taiwan is officially known as the Republic of China.,1,FEVER
Ancient Chinese is harder to learn compared to South Korea's main language.,1,FEVER
Beijing is the second largest Chinese sculpture.,0,FEVER
The Himalayas has some of its mountains in China.,1,FEVER
The Hui people also have communities in Beijing and Hebei.,1,FEVER
Beijing is the nation's cultural center.,1,FEVER
"Taiwan is neighbored by China, Japan, and the Philippines.",1,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Beijing is rarely a city.,0,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Mao Zedong was from China.,1,FEVER
